ID,PARENT,PARENT_IAU,ID_IAU,EPOCH,A_SEMI_MAJOR_AXIS_KM,EC_ECCENTRICITY,W_ARG_PERIAPSIS_DEG,MA_MEAN_ANOMALY_DEG,IN_INCLINATION_DEG,OM_LONGITUDE_ASCENDING_NODE_DEG,PR_SIDEREAL_ORBIT_PERIOD_SEC,AXIAL_TILT_DEG,MEAN_RADIUS_KM,GM_KM3/S2,PERIOD_SEC,RETROGRADE_ROT,MODEL_TYPE
Kore,Jupiter,5,549,2451545,24203300,0.338,135.3,40.6,141.7,324.2,66478139,0,1,0.0000002803206,86400,FALSE,TerrestrialBody
Herse,Jupiter,5,550,2451545,23146700,0.258,344.1,123.1,164.4,299.5,62175721,0,1,0.0000002803206,86400,FALSE,TerrestrialBody
S2010_J_1,Jupiter,5,551,2451545,23185600,0.256,175.6,183.4,164.5,284.7,62331180,0,1,0.0000002803206,86400,FALSE,TerrestrialBody
S2010_J_2,Jupiter,5,552,2451545,20786900,0.244,28.8,292.5,148,357.3,52907100,0,0.5,0.00000003470636,86400,FALSE,TerrestrialBody
Dia,Jupiter,5,553,2451545,12257900,0.232,164.1,320.9,29.1,293.9,23954158,0,2,0.000002269262,86400,FALSE,TerrestrialBody
S2016_J_1,Jupiter,5,554,2451545,20796700,0.245,298.5,215.3,145.1,247.7,52944296,0,0.5,0.00000003470636,86400,FALSE,TerrestrialBody
S2003_J_18,Jupiter,5,555,2451545,20332800,0.102,86.2,252.5,145.7,166.8,51177597,0,1,0.0000002803206,86400,FALSE,TerrestrialBody
S2011_J_2,Jupiter,5,556,2451545,22903400,0.358,262.9,297.6,151.7,24.9,61196524,0,0.5,0.00000003470636,86400,FALSE,TerrestrialBody
Eirene,Jupiter,5,557,2451545,23051300,0.263,86.4,336.7,164.7,180,61792502,0,2,0.000002269262,86400,FALSE,TerrestrialBody
Philophrosyn,Jupiter,5,558,2451545,22600200,0.221,0.9,88.9,146.1,234.3,59979243,0,1,0.0000002803206,86400,FALSE,TerrestrialBody
S2017_J_1,Jupiter,5,559,2451545,23739600,0.321,74.7,250.1,145.6,251.8,64578660,0,1,0.0000002803206,86400,FALSE,TerrestrialBody
Eupheme,Jupiter,5,560,2451545,20763400,0.234,73.6,339.8,147.9,227.5,52817702,0,1,0.0000002803206,86400,FALSE,TerrestrialBody
S2003_J_19,Jupiter,5,561,2451545,23153100,0.264,186.8,196.9,164.6,21.9,62201278,0,1,0.0000002803206,86400,FALSE,TerrestrialBody
Valetudo,Jupiter,5,562,2451545,18690100,0.217,316.3,90.5,34.5,291.2,45107220,0,0.5,0.00000003470636,86400,FALSE,TerrestrialBody
S2017_J_2,Jupiter,5,563,2451545,22949600,0.27,153,278.2,164.5,359.4,61380357,0,1,0.0000002803206,86400,FALSE,TerrestrialBody
S2017_J_3,Jupiter,5,564,2451545,20936500,0.238,105.7,235.4,147.9,27.9,53478602,0,1,0.0000002803206,86400,FALSE,TerrestrialBody
Pandia,Jupiter,5,565,2451545,11479600,0.178,188.7,158.5,28.9,249.8,21706436,0,1.5,0.000000934402,86400,FALSE,TerrestrialBody
S2017_J_5,Jupiter,5,566,2451545,23202000,0.261,292.5,69.3,164.7,42.3,62397838,0,1,0.0000002803206,86400,FALSE,TerrestrialBody
S2017_J_6,Jupiter,5,567,2451545,23251200,0.333,15.5,146,149.6,312.8,62594104,0,1,0.0000002803206,86400,FALSE,TerrestrialBody
S2017_J_7,Jupiter,5,568,2451545,20960400,0.235,288.7,353,147.4,264.9,53569443,0,1,0.0000002803206,86400,FALSE,TerrestrialBody
S2017_J_8,Jupiter,5,569,2451545,22819600,0.259,330.5,349.4,164.8,97.3,60861724,0,0.5,0.00000003470636,86400,FALSE,TerrestrialBody
S2017_J_9,Jupiter,5,570,2451545,21764200,0.197,276.4,243.3,155.4,245.3,56682539,0,1.5,0.000000934402,86400,FALSE,TerrestrialBody
Ersa,Jupiter,5,571,2451545,11399400,0.117,300.7,270.8,29,113.7,21480362,0,1.5,0.000000934402,86400,FALSE,TerrestrialBody
S2011_J_1,Jupiter,5,572,2451545,23120800,0.269,50.4,225.4,164.7,253.5,62071082,0,1,0.0000002803206,86400,FALSE,TerrestrialBody
S2003_J_2,Jupiter,5,55501,2451545,20992900,0.225,170.6,42.3,150.1,348.4,53695138,0,1,0.0000002803206,86400,FALSE,TerrestrialBody
S2003_J_4,Jupiter,5,55502,2451545,22922300,0.327,208.8,216.5,148.3,175.4,61268219,0,1,0.0000002803206,86400,FALSE,TerrestrialBody
S2003_J_9,Jupiter,5,55503,2451545,23195100,0.268,288.4,359.8,164.7,46.3,62370363,0,0.5,0.00000003470636,86400,FALSE,TerrestrialBody
S2003_J_10,Jupiter,5,55504,2451545,23384400,0.257,187.6,272.8,164.6,155.7,63135720,0,1,0.0000002803206,86400,FALSE,TerrestrialBody
S2003_J_12,Jupiter,5,55505,2451545,20959300,0.235,66.1,160.7,150,54.1,53564639,0,0.5,0.00000003470636,86400,FALSE,TerrestrialBody
S2003_J_16,Jupiter,5,55506,2451545,20877500,0.238,55.6,298.2,147.8,5.3,53252156,0,1,0.0000002803206,86400,FALSE,TerrestrialBody
S2003_J_23,Jupiter,5,55507,2451545,23824000,0.306,256.6,140.6,144.4,30.9,64920900,0,1,0.0000002803206,86400,FALSE,TerrestrialBody
S2003_J_24,Jupiter,5,55508,2451545,22882400,0.263,84.1,121.6,164.6,208.7,61113718,0,1,0.0000002803206,86400,FALSE,TerrestrialBody
S2011_J_3,Jupiter,5,55509,2451545,11716800,0.192,134.7,359.4,27.6,123.3,22385160,0,1.5,0.000000934402,86400,FALSE,TerrestrialBody
S2018_J_2,Jupiter,5,55510,2451545,11419700,0.152,288.6,115.5,28.3,91.8,21537360,0,1.5,0.000000934402,86400,FALSE,TerrestrialBody
S2018_J_3,Jupiter,5,55511,2451545,23400200,0.268,177.5,279,164.9,135.7,63200520,0,0.5,0.00000003470636,86400,FALSE,TerrestrialBody
S2021_J_1,Jupiter,5,55512,2451545,20954700,0.228,20.6,129.1,150.5,241.1,53548016,0,0.5,0.00000003470636,86400,FALSE,TerrestrialBody
S2021_J_2,Jupiter,5,55513,2451545,20926600,0.242,25.9,110.8,148.1,269.5,53438642,0,0.5,0.00000003470636,86400,FALSE,TerrestrialBody
S2021_J_3,Jupiter,5,55514,2451545,20776600,0.239,218.6,167.9,147.9,141.7,52865879,0,1,0.0000002803206,86400,FALSE,TerrestrialBody
S2021_J_4,Jupiter,5,55515,2451545,23019700,0.265,140.5,218.9,164.6,129.9,61664164,0,0.5,0.00000003470636,86400,FALSE,TerrestrialBody
S2021_J_5,Jupiter,5,55516,2451545,23414600,0.272,273.4,236.5,164.9,154.4,63258002,0,1,0.0000002803206,86400,FALSE,TerrestrialBody
S2021_J_6,Jupiter,5,55517,2451545,22870400,0.271,146.2,208.5,164.9,87.2,61064522,0,0.5,0.00000003470636,86400,FALSE,TerrestrialBody
S2016_J_3,Jupiter,5,55518,2451545,22719300,0.251,94.7,59.1,164.6,36.8,60459117,0,1,0.0000002803206,86400,FALSE,TerrestrialBody
S2016_J_4,Jupiter,5,55519,2451545,23113900,0.294,249.4,217.5,147.1,203.2,62038500,0,0.5,0.00000003470636,86400,FALSE,TerrestrialBody
S2018_J_4,Jupiter,5,55520,2451545,16328500,0.177,285,138.3,50.2,52.1,36829261,0,1,0.0000002803206,86400,FALSE,TerrestrialBody
S2022_J_1,Jupiter,5,55521,2451545,22744700,0.257,232.4,42.2,164.5,310.9,60560637,0,0.5,0.00000003470636,86400,FALSE,TerrestrialBody
S2022_J_2,Jupiter,5,55522,2451545,23073400,0.263,357,98.9,164.7,47.7,61880579,0,0.5,0.00000003470636,86400,FALSE,TerrestrialBody
S2022_J_3,Jupiter,5,55523,2451545,21015100,0.248,351.6,271.7,148.1,233.1,53778479,0,0.5,0.00000003470636,86400,FALSE,TerrestrialBody
S2017_J_10,Jupiter,5,55525,2451545,21075800,0.209,195.3,157.7,145.1,329.6,54012900,0,0.5,0.00000003470636,86400,FALSE,TerrestrialBody
S2017_J_11,Jupiter,5,55526,2451545,22991300,0.268,25.5,236.9,164.8,134.9,61549857,0,0.5,0.00000003470636,86400,FALSE,TerrestrialBody
Mimas,Saturn,6,601,2451545,186000,0.02,160.4,275.3,1.6,66.2,81425,0,198.8,2.50349,0,FALSE,TerrestrialBody
Enceladus,Saturn,6,602,2451545,238400,0.005,119.5,57,0,0,118387,0,252.3,7.210367,0,FALSE,TerrestrialBody
Tethys,Saturn,6,603,2451545,295000,0.001,335.3,0,1.1,273,163106,0,531.1,41.21353,0,FALSE,TerrestrialBody
Dione,Saturn,6,604,2451545,377700,0.002,116,212,0,0,236470,0,561.4,73.11607,0,FALSE,TerrestrialBody
Rhea,Saturn,6,605,2451545,527200,0.001,44.3,31.5,0.3,133.7,390312,0,763.5,153.941175,0,FALSE,TerrestrialBody
Titan,Saturn,6,606,2451545,1221900,0.029,78.3,11.7,0.3,78.6,1377687,0.6,2574.76,8978.1371,0,FALSE,AtmosphericBody
Hyperion,Saturn,6,607,2451545,1481500,0.105,214,122.9,0.6,87.1,1838303,0.1,135,0.37049,1123200,FALSE,TerrestrialBody
Iapetus,Saturn,6,608,2451545,3561700,0.028,254.5,74.8,7.6,86.5,6854199,14.8,734.3,120.51511,0,FALSE,TerrestrialBody
Phoebe,Saturn,6,609,2451545,12929400,0.164,240.3,308,175.2,192.7,47546258,26.7,106.5,0.55479,33480,FALSE,TerrestrialBody
Janus,Saturn,6,610,2451545,151500,0.007,11.1,111.7,0.2,159.9,60251,0,89.2,0.12662,0,FALSE,TerrestrialBody
Epimetheus,Saturn,6,611,2451545,151400,0.02,96.3,197.2,0.3,189.8,60222,0,58.2,0.03514,0,FALSE,TerrestrialBody
Helene,Saturn,6,612,2451545,377600,0.007,194.3,-64.5,0.2,260.8,236470,0,18,0.00048,0,FALSE,TerrestrialBody
Telesto,Saturn,6,613,2451545,295000,0.001,66.2,360,1.2,242.1,163106,0,12.6,0.00048,0,FALSE,TerrestrialBody
Calypso,Saturn,6,614,2451545,295000,0.001,221.6,0,1.5,326.6,163106,0,10.3,0.0003597,0,FALSE,TerrestrialBody
Atlas,Saturn,6,615,2451545,137700,0.001,82.3,289.1,0,0,52238,0,15.1,0.00037,0,FALSE,TerrestrialBody
Prometheus,Saturn,6,616,2451545,139400,0.002,341.9,135.4,0,0,53212,0,43.1,0.01071,0,FALSE,TerrestrialBody
Pandora,Saturn,6,617,2451545,141700,0.004,217.9,123.9,0,0,54550,0,40.6,0.00926,0,FALSE,TerrestrialBody
Pan,Saturn,6,618,2451545,133600,0,0,146.6,0,0,49684,0,14,0.0002869949,0,FALSE,TerrestrialBody
Ymir,Saturn,6,619,2451545,22955600,0.338,45.3,167.5,172.3,204.5,112206116,0,8.5,0.0003737608,42919,FALSE,TerrestrialBody
Paaliaq,Saturn,6,620,2451545,14997700,0.378,237.6,318.2,48.5,353.2,59245802,0,12.5,0.000934402,67644,FALSE,TerrestrialBody
Tarvos,Saturn,6,621,2451545,18216600,0.522,282.9,64.5,37.8,95.7,79313818,0,7.2,0.0001401603,38376,FALSE,TerrestrialBody
Ijiraq,Saturn,6,622,2451545,11344700,0.293,68.6,83.4,49.2,152.5,38976777,0,6.5,0.0001201374,46908,FALSE,TerrestrialBody
Suttungr,Saturn,6,623,2451545,19391900,0.116,65,171,175.7,253.2,87112377,0,3.5,0.00001802061,27612,FALSE,TerrestrialBody
Kiviuq,Saturn,6,624,2451545,11307400,0.275,91.8,183.2,48,352.7,38785617,0,8.5,0.0002402748,78552,FALSE,TerrestrialBody
Mundilfari,Saturn,6,625,2451545,18588200,0.211,305.4,299,167.1,79.2,81759482,0,3.5,0.00001802061,24264,FALSE,TerrestrialBody
Albiorix,Saturn,6,626,2451545,16329200,0.482,62.8,155,36.8,111.1,67311657,0,14.3,0.000800916,47988,FALSE,TerrestrialBody
Skathi,Saturn,6,627,2451545,15575400,0.281,202.3,269.3,151.6,284.1,62703184,0,4,0.00002536234,39960,FALSE,TerrestrialBody
Erriapus,Saturn,6,628,2451545,17506900,0.475,279.8,14.3,37.1,146.2,74729399,0,5,0.00006340585,101340,FALSE,TerrestrialBody
Siarnaq,Saturn,6,629,2451545,17881100,0.308,68.4,62.7,47.8,64,77127543,0,19.7,0.002135776,36673,FALSE,TerrestrialBody
Thrymr,Saturn,6,630,2451545,20330500,0.467,92.2,216.2,175,247.3,93504603,0,4,0.00002536234,139644,FALSE,TerrestrialBody
Narvi,Saturn,6,631,2451545,19285000,0.441,177.9,111.5,142.2,179,86394963,0,3.5,0.00001802061,36756,FALSE,TerrestrialBody
Methone,Saturn,6,632,2451545,194700,0.002,315.5,0,0,0,87225,0,1.5,0.00000026163256,0,FALSE,TerrestrialBody
Pallene,Saturn,6,633,2451545,212300,0.004,194.9,2,0.2,304.3,99883,0,2.2,0.00001535089,0,FALSE,TerrestrialBody
Polydeuces,Saturn,6,634,2451545,377600,0.019,94.1,359,0.2,167.5,236470,0,1.3,0.0000005005725,0,FALSE,TerrestrialBody
Daphnis,Saturn,6,635,2451545,136500,0,0,153.6,0,0,51329,0,3.8,0.000004538524,0,FALSE,TerrestrialBody
Aegir,Saturn,6,636,2451545,20664400,0.255,244.7,23.5,166.1,181.9,95828642,0,3,0.00004338295,38160,FALSE,TerrestrialBody
Bebhionn,Saturn,6,637,2451545,17027300,0.459,5.1,128.4,38.6,197.7,71681216,0,3,0.00001201374,58788,FALSE,TerrestrialBody
Bergelmir,Saturn,6,638,2451545,19268100,0.145,133.9,255.7,158.8,207.9,86280656,0,2.5,0.00000734173,29268,FALSE,TerrestrialBody
Bestla,Saturn,6,639,2451545,20337800,0.486,85.6,33.1,138.3,283,93566396,0,3.5,0.00001802061,52632,FALSE,TerrestrialBody
Farbauti,Saturn,6,640,2451545,20290700,0.249,343.6,9,156.2,138,93236340,0,3.5,0.000004338295,38160,FALSE,TerrestrialBody
Fenrir,Saturn,6,641,2451545,22330800,0.137,114.5,38.6,164.5,234.6,107647618,0,2,0.000002269262,38160,FALSE,TerrestrialBody
Fornjot,Saturn,6,642,2451545,24936800,0.213,321.9,53.5,170,269.3,127039260,0,3,0.00000734173,29520,FALSE,TerrestrialBody
Hati,Saturn,6,643,2451545,19695000,0.372,10.4,270.6,165.4,316.3,89166839,0,2.5,0.00000734173,19620,FALSE,TerrestrialBody
Hyrrokkin,Saturn,6,644,2451545,18340900,0.336,264.8,214.8,149.9,40.2,80132276,0,4,0.00002536234,45936,FALSE,TerrestrialBody
Kari,Saturn,6,645,2451545,22032100,0.469,160.2,83.1,153,288.3,105492300,0,3,0.00001802061,27720,FALSE,TerrestrialBody
Loge,Saturn,6,646,2451545,22919200,0.191,20.5,32.1,168.1,333,111933300,0,2.5,0.00000734173,24840,FALSE,TerrestrialBody
Skoll,Saturn,6,647,2451545,17623400,0.463,186.1,181.2,159.4,294,75476759,0,2.5,0.00000734173,26136,FALSE,TerrestrialBody
Surtur,Saturn,6,648,2451545,22748000,0.448,314.4,9.9,168.4,255.3,110690461,0,3,0.000004338295,38160,FALSE,TerrestrialBody
Anthe,Saturn,6,649,2451545,198100,0.002,293.4,351.4,0,0,89761,0,0.9,0.0000001001145,0,FALSE,TerrestrialBody
Jarnsaxa,Saturn,6,650,2451545,19273500,0.218,229.2,175.5,163,9.2,86324581,0,3,0.000004338295,38160,FALSE,TerrestrialBody
Greip,Saturn,6,651,2451545,18380000,0.317,146.2,355.9,174.2,335.8,80389921,0,2.5,0.00000734173,45900,FALSE,TerrestrialBody
Tarqeq,Saturn,6,652,2451545,17751000,0.144,72.2,292.8,48.7,93.3,76278361,0,3.5,0.00001201374,274068,FALSE,TerrestrialBody
Aegaeon,Saturn,6,653,2451545,167500,0,0,4.4,0,0,69821,0,0.38,0.0000000052193026,0,FALSE,TerrestrialBody
Gridr,Saturn,6,654,2451545,19250600,0.187,271.4,197,163.9,330.8,86169476,0,2,0.000004338295,38160,FALSE,TerrestrialBody
Angrboda,Saturn,6,655,2451545,20591500,0.216,104.2,263,177.7,279.1,95316359,0,2,0.000002269262,38160,FALSE,TerrestrialBody
Skrymir,Saturn,6,656,2451545,21447400,0.437,68.1,68.9,175.6,177.7,101323138,0,2,0.000004338295,38160,FALSE,TerrestrialBody
Gerd,Saturn,6,657,2451545,20947500,0.517,307.2,49.5,174.4,260.4,97796696,0,2,0.000002269262,0,FALSE,TerrestrialBody
S/2004_S_26,Saturn,6,658,2451545,26097500,0.147,148.4,193.6,172.9,328.8,136015502,0,2.5,0.000004338295,38160,FALSE,TerrestrialBody
Eggther,Saturn,6,659,2451545,19844600,0.157,130.1,111.7,165,84.5,90184622,0,3,0.00000734173,38160,FALSE,TerrestrialBody
S/2004_S_29,Saturn,6,660,2451545,17063900,0.485,309.5,244.1,38.6,157.9,71908439,0,2.5,0.000004338295,38160,FALSE,TerrestrialBody
Beli,Saturn,6,661,2451545,20703700,0.087,263.5,191.7,158.9,258.7,96100016,0,2,0.000002269262,19800,FALSE,TerrestrialBody
Gunnlod,Saturn,6,662,2451545,21141800,0.251,24.7,311.4,160.4,293.3,99164339,0,2,0.000004338295,38160,FALSE,TerrestrialBody
Thiazzi,Saturn,6,663,2451545,23577500,0.511,303.2,334.7,158.8,73.1,116798276,0,2,0.000002269262,38160,FALSE,TerrestrialBody
S/2004_S_34,Saturn,6,664,2451545,24145800,0.279,354.5,160,168.3,292.6,121040343,0,2,0.000002269262,38160,FALSE,TerrestrialBody
Alvaldi,Saturn,6,665,2451545,21993800,0.238,188.1,38.3,177.4,321.8,105218283,0,3,0.000004338295,38160,FALSE,TerrestrialBody
Geirrod,Saturn,6,666,2451545,22259400,0.539,349.6,202.2,154.4,127.9,107140018,0,2,0.000002269262,38160,FALSE,TerrestrialBody
S2004_S_31,Saturn,6,65067,2451545,17497100,0.159,253.9,261.8,48,82.5,74642939,0,2.5,0.000004338295,38160,FALSE,TerrestrialBody
S2004_S_24,Saturn,6,65070,2451545,23338200,0.071,338.4,122.1,37.4,354,115026238,0,2,0.000002269262,38160,FALSE,TerrestrialBody
S2004_S_28,Saturn,6,65077,2451545,21865900,0.159,191.9,95.8,167.9,128.8,104300637,0,2.5,0.000004338295,38160,FALSE,TerrestrialBody
