ID,ID_IAU,PARENT,PARENT_IAU,EPOCH,A_SEMI_MAJOR_AXIS_KM,EC_ECCENTRICITY,W_ARG_PERIAPSIS_DEG,MA_MEAN_ANOMALY_DEG,IN_INCLINATION_DEG,OM_LONGITUDE_ASCENDING_NODE_DEG,PR_SIDEREAL_ORBIT_PERIOD_SEC,AXIAL_TILT_DEG,MEAN_RADIUS_KM,GM_KM3/S2,PERIOD_SEC,RETROGRADE_ROT,MODEL_TYPE,GROUP,BODY_TYPE
Eurydome,532,Jupiter,599,2451545,22877264.7,0.2205,225.83,281.81,144.36,301.47,61083061,0,1.5,0.000000934402,86400,FALSE,TerrestrialBody,Pasiphae,MinorBody
Euanthe,533,Jupiter,599,2451545,20535024.0,0.2340,316.06,353.59,145.25,270.00,51946640,0,1.5,0.000000934402,86400,FALSE,TerrestrialBody,Ananke,MinorBody
Euporie,534,Jupiter,599,2451545,19545127.0,0.1208,105.58,56.26,146.85,61.78,48236123,0,1,0.0000002803206,86400,FALSE,TerrestrialBody,Ananke,MinorBody
Orthosie,535,Jupiter,599,2451545,20689175.2,0.3005,247.92,161.14,145.54,216.73,52532662,0,1,0.0000002803206,86400,FALSE,TerrestrialBody,Ananke,MinorBody
Sponde,536,Jupiter,599,2451545,24528915.3,0.2486,52.91,177.41,153.40,107.75,67815998,0,1,0.0000002803206,86400,FALSE,TerrestrialBody,Pasiphae,MinorBody
Kale,537,Jupiter,599,2451545,23061645.3,0.2311,60.06,175.97,166.12,49.60,61823000,0,1,0.0000002803206,86400,FALSE,TerrestrialBody,Carme,MinorBody
Pasithee,538,Jupiter,599,2451545,23237348.0,0.3183,210.25,237.72,161.07,321.97,62530872,0,1,0.0000002803206,86400,FALSE,TerrestrialBody,Carme,MinorBody
Hegemone,539,Jupiter,599,2451545,23245320.7,0.3782,193.88,241.15,144.42,314.62,62563056,0,1.5,0.0000000934402,86400,FALSE,TerrestrialBody,Pasiphae,MinorBody
Mneme,540,Jupiter,599,2451545,20476558.1,0.3091,48.57,236.08,145.87,1.40,51724950,0,1,0.0000002803206,86400,FALSE,TerrestrialBody,Ananke,MinorBody
Aoede,541,Jupiter,599,2451545,22992334.2,0.5974,42.92,207.65,158.69,158.12,61544499,0,2,0.000002269262,86400,FALSE,TerrestrialBody,Pasiphae,MinorBody
