ID,ID_JPLREF,PARENT,PARENT_JPLREF,EPOCH,REF_FRAME,A_SEMI_MAJOR_AXIS_KM,EC_ECCENTRICITY,W_ARG_PERIAPSIS_DEG,TP_TIME_DAYS,MA_MEAN_ANOMALY_DEG,IN_INCLINATION_DEG,OM_LONGITUDE_ASCENDING_NODE_DEG,PR_SIDEREAL_ORBIT_PERIOD_SEC,ROT_FRAME,TILT_OBLIQUITY_DEG,TILT_AZIMUTH_DEG,PARENT_ROT_LONG,MEAN_RADIUS_KM,GM_KM3/S2,SIDEREAL_PERIOD_SEC,RETROGRADE_ROT,GROUP,BODY_TYPE
Eirene,557,Jupiter,599,2451545,Ecliptic,0,0,0,0,0,0,0,0,Ecliptic,0,0,0,2,0.000002269262,86400,FALSE,Carme,MinorBody
Philophrosyne,558,Jupiter,599,2451545,Ecliptic,0,0,0,0,0,0,0,0,Ecliptic,0,0,0,1,0.0000002803206,86400,FALSE,Carme,MinorBody
S2017_J_1,559,Jupiter,599,2451545,Ecliptic,0,0,0,0,0,0,0,0,Ecliptic,0,0,0,1,0.0000002803206,86400,FALSE,Pasiphae,MinorBody
Eupheme,560,Jupiter,599,2451545,Ecliptic,0,0,0,0,0,0,0,0,Ecliptic,0,0,0,1,0.0000002803206,86400,FALSE,Ananke,MinorBody
S2003_J_19,561,Jupiter,599,2451545,Ecliptic,0,0,0,0,0,0,0,0,Ecliptic,0,0,0,1,0.0000002803206,86400,FALSE,Carme,MinorBody
Valetudo,562,Jupiter,599,2451545,Ecliptic,0,0,0,0,0,0,0,0,Ecliptic,0,0,0,0.5,0.00000003470636,86400,FALSE,Valetudo,MinorBody
S2017_J_2,563,Jupiter,599,2451545,Ecliptic,0,0,0,0,0,0,0,0,Ecliptic,0,0,0,1,0.0000002803206,86400,FALSE,Carme,MinorBody
S2017_J_3,564,Jupiter,599,2451545,Ecliptic,0,0,0,0,0,0,0,0,Ecliptic,0,0,0,1,0.0000002803206,86400,FALSE,Ananke,MinorBody
Pandia,565,Jupiter,599,2451545,Ecliptic,0,0,0,0,0,0,0,0,Ecliptic,0,0,0,1.5,0.000000934402,86400,FALSE,Himalia,MinorBody
S2017_J_5,566,Jupiter,599,2451545,Ecliptic,0,0,0,0,0,0,0,0,Ecliptic,0,0,0,1,0.0000002803206,86400,FALSE,Carme,MinorBody
S2017_J_6,567,Jupiter,599,2451545,Ecliptic,0,0,0,0,0,0,0,0,Ecliptic,0,0,0,1,0.0000002803206,86400,FALSE,Pasiphae,MinorBody
S2017_J_7,568,Jupiter,599,2451545,Ecliptic,0,0,0,0,0,0,0,0,Ecliptic,0,0,0,1,0.0000002803206,86400,FALSE,Ananke,MinorBody
S2017_J_8,569,Jupiter,599,2451545,Ecliptic,0,0,0,0,0,0,0,0,Ecliptic,0,0,0,0.5,0.00000003470636,86400,FALSE,Carme,MinorBody
S2017_J_9,570,Jupiter,599,2451545,Ecliptic,0,0,0,0,0,0,0,0,Ecliptic,0,0,0,1.5,0.000000934402,86400,FALSE,Ananke,MinorBody
Ersa,571,Jupiter,599,2451545,Ecliptic,0,0,0,0,0,0,0,0,Ecliptic,0,0,0,1.5,0.000000934402,86400,FALSE,Himalia,MinorBody
S2011_J_1,572,Jupiter,599,2451545,Ecliptic,0,0,0,0,0,0,0,0,Ecliptic,0,0,0,1,0.0000002803206,86400,FALSE,Carme,MinorBody
S2003_J_2,55501,Jupiter,599,2451545,Ecliptic,0,0,0,0,0,0,0,0,Ecliptic,0,0,0,1,0.0000002803206,86400,FALSE,Ananke,MinorBody
S2003_J_4,55502,Jupiter,599,2451545,Ecliptic,0,0,0,0,0,0,0,0,Ecliptic,0,0,0,1,0.0000002803206,86400,FALSE,Pasiphae,MinorBody
S2003_J_9,55503,Jupiter,599,2451545,Ecliptic,0,0,0,0,0,0,0,0,Ecliptic,0,0,0,0.5,0.00000003470636,86400,FALSE,Carme,MinorBody
S2003_J_10,55504,Jupiter,599,2451545,Ecliptic,0,0,0,0,0,0,0,0,Ecliptic,0,0,0,1,0.0000002803206,86400,FALSE,Carme,MinorBody
S2003_J_12,55505,Jupiter,599,2451545,Ecliptic,0,0,0,0,0,0,0,0,Ecliptic,0,0,0,0.5,0.00000003470636,86400,FALSE,Ananke,MinorBody
S2003_J_16,55506,Jupiter,599,2451545,Ecliptic,0,0,0,0,0,0,0,0,Ecliptic,0,0,0,1,0.0000002803206,86400,FALSE,Ananke,MinorBody
S2003_J_23,55507,Jupiter,599,2451545,Ecliptic,0,0,0,0,0,0,0,0,Ecliptic,0,0,0,1,0.0000002803206,86400,FALSE,Pasiphae,MinorBody
S2003_J_24,55508,Jupiter,599,2451545,Ecliptic,0,0,0,0,0,0,0,0,Ecliptic,0,0,0,1,0.0000002803206,86400,FALSE,Carme,MinorBody
S2011_J_3,55509,Jupiter,599,2451545,Ecliptic,0,0,0,0,0,0,0,0,Ecliptic,0,0,0,1.5,0.000000934402,86400,FALSE,Himalia,MinorBody
S2018_J_2,55510,Jupiter,599,2451545,Ecliptic,0,0,0,0,0,0,0,0,Ecliptic,0,0,0,1.5,0.000000934402,86400,FALSE,Himalia,MinorBody
S2018_J_3,55511,Jupiter,599,2451545,Ecliptic,0,0,0,0,0,0,0,0,Ecliptic,0,0,0,0.5,0.00000003470636,86400,FALSE,Carme,MinorBody
S2021_J_1,55512,Jupiter,599,2451545,Ecliptic,0,0,0,0,0,0,0,0,Ecliptic,0,0,0,0.5,0.00000003470636,86400,FALSE,Ananke,MinorBody
S2021_J_2,55513,Jupiter,599,2451545,Ecliptic,0,0,0,0,0,0,0,0,Ecliptic,0,0,0,0.5,0.00000003470636,86400,FALSE,Ananke,MinorBody
